procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 4  0      0 20574132 182540 7710904    0    0    15    17   28   38  3  1 96  0  0
 2  0      0 20506888 182744 7718300    0    0     0   215 5374 9901  8  2 90  0  0
 1  0      0 20415208 182828 7778932    0    0     0   839 6258 45073  9  3 88  0  0
 0  0      0 20497044 182892 7717564    0    0     0   127 3611 7641  5  1 94  0  0
 0  0      0 20507068 183004 7713956    0    0     0   120 2429 6121  2  1 97  0  0
 0  0      0 20511860 183112 7713248    0    0     0   109 2612 6444  3  1 96  0  0
 0  0      0 20450240 183336 7729280    0    0     0   168 3219 9153  4  1 95  0  0
 0  0      0 20443748 183552 7709296    0    0     0   169 2792 6012  3  1 96  0  0
 0  0      0 20440452 183728 7709448    0    0     0   158 2293 5673  2  1 97  0  0
 1  0      0 20442024 183840 7711556    0    0     0   108 2110 4713  2  1 97  0  0
 0  0      0 20428968 183948 7715976    0    0     0   113 1883 3952  2  1 97  0  0
 0  0      0 20393592 184140 7718204    0    0     0   252 1968 3865  2  1 97  0  0
 0  0      0 20444740 184212 7706324    0    0     0   140 1503 2349  1  1 98  0  0
 0  0      0 20446648 184268 7706332    0    0     0    82 1278 2128  1  1 98  0  0
 1  0      0 20423896 184428 7715508    0    0     0   135 2297 6084  2  1 96  0  0
 0  0      0 20393688 184564 7715880    0    0     0   120 2750 6602  3  1 96  0  0
 0  0      0 20332532 184828 7711228    0    0     0   171 2905 6867  3  1 96  0  0
 0  0      0 20461280 184908 7713192    0    0     0    87 3332 8220  4  1 95  0  0
 0  0      0 20456272 185060 7715764    0    0     0   141 2685 7345  3  1 96  0  0
 0  0      0 20474596 185132 7704816    0    0     0    78 2495 6486  3  1 96  0  0
 1  0      0 20470488 185204 7715452    0    0     0   123 2116 5467  2  1 97  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 20488696 185252 7702920    0    0     0    79 1721 3806  2  1 98  0  0
 0  0      0 20454672 185444 7710316    0    0     0   149 2706 7529  4  1 95  0  0
 0  0      0 20439336 185692 7705888    0    0     0   153 2060 5161  2  1 97  0  0
 3  0      0 20396964 185852 7713976    0    0     0   162 3432 8935  4  1 95  0  0
 0  0      0 20405384 185940 7702356    0    0     0    90 2012 5415  2  1 97  0  0
 0  0      0 20430676 186020 7710148    0    0     0    90 1719 3744  2  1 97  0  0
 1  0      0 20447588 186060 7708116    0    0     0    59 1474 3125  2  1 98  0  0
 0  0      0 20423728 186140 7702396    0    0     0   100 1571 3266  2  1 98  0  0
 0  0      0 20431588 186196 7702264    0    0     0    36 1295 2040  1  1 98  0  0
 1  0      0 20423564 186292 7702524    0    0     0    98 1288 2055  1  1 98  0  0
 0  0      0 20387476 186380 7717048    0    0     0    85 1321 2357  1  1 98  0  0
 0  0      0 20425728 186604 7704372    0    0     0   165 2656 7148  3  1 96  0  0
 0  0      0 20423156 186684 7705660    0    0     0   115 3153 6591  3  1 96  0  0
 0  0      0 20432368 186796 7706204    0    0     0   124 3086 5562  3  1 96  0  0
 0  0      0 20429996 186860 7709340    0    0     0    71 1354 2190  1  1 98  0  0
 0  0      0 20418076 186988 7711204    0    0     0   110 2399 4996  2  1 97  0  0
 0  0      0 20390072 187212 7716752    0    0     0   135 3372 7148  3  1 95  0  0
 0  0      0 20419112 187332 7705892    0    0     0   130 2286 5365  3  1 97  0  0
 1  0      0 20392728 187444 7712764    0    0     0    97 2731 7244  3  1 96  0  0
 3  0      0 20380936 187532 7716908    0    0     0   133 3843 10743  5  2 94  0  0
 0  0      0 20432608 187604 7700508    0    0     0    88 1772 3690  2  1 98  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0      0 20425248 187676 7700500    0    0     0    76 1263 1762  1  1 99  0  0
 0  0      0 20421452 187748 7700268    0    0     0    93 1266 1788  1  1 99  0  0
 0  0      0 20410960 187812 7700288    0    0     0    91 1228 1839  1  1 99  0  0
 0  0      0 20443408 187868 7674940    0    0     0    75 1142 1737  1  1 99  0  0
 0  0      0 20445404 187940 7671636    0    0     0    89 1152 1715  1  1 99  0  0
 0  0      0 20403868 187996 7706728    0    0     0    86 1155 1775  1  1 99  0  0
 0  0      0 20405968 188076 7703792    0    0     0   118 1253 1958  1  1 98  0  0
 0  0      0 20410004 188140 7700388    0    0     0    71 1186 1766  1  1 99  0  0
 0  0      0 20415604 188188 7700548    0    0     0    67 1152 1755  1  1 98  0  0
 0  0      0 20463800 188252 7671772    0    0     0   112 1258 1788  1  1 98  0  0
 1  0      0 20391832 188300 7681136    0    0     0   109 1244 2113  1  1 98  0  0
 0  0      0 20437088 188348 7671788    0    0     0   119 1194 1715  1  1 98  0  0
 0  0      0 20451676 188420 7672048    0    0     0    91 1181 1697  1  1 99  0  0
 0  0      0 20446180 188484 7675132    0    0     0    95 1231 1728  1  1 98  0  0
 0  0      0 20447352 188524 7672096    0    0     0    85 1239 1803  1  1 98  0  0
 0  0      0 20452508 188564 7672104    0    0     0    68 1129 1659  1  1 99  0  0
 0  0      0 20445436 188620 7671768    0    0     0    87 1179 1718  1  1 99  0  0
 0  0      0 20438180 188692 7672144    0    0     0    77 1178 1656  1  1 98  0  0
 0  0      0 20442684 188748 7668052    0    0     0    82 1178 1695  1  1 98  0  0
 0  0      0 20433492 188788 7668068    0    0     0    73 1171 1665  1  1 99  0  0
 0  0      0 20444180 188836 7667840    0    0     0    98 1258 1836  1  1 98  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 20457076 188908 7668088    0    0     0    84 1152 1667  1  1 98  0  0
 0  0      0 20429148 188964 7696376    0    0     0    48 1263 1807  1  1 98  0  0
 0  0      0 20439708 189028 7696356    0    0     0    95 1155 1684  1  1 99  0  0
 0  0      0 20436008 189076 7696616    0    0     0    73 1147 1683  1  1 99  0  0
 0  0      0 20429108 189132 7696652    0    0     0    85 1143 1728  1  1 98  0  0
 1  0      0 20419640 189188 7696676    0    0     0    79 1198 1787  1  1 98  0  0
 1  0      0 20415508 189236 7696860    0    0     0    90 1222 1846  1  1 98  0  0
 0  0      0 20415784 189324 7697200    0    0     0   150 1180 1799  1  1 98  0  0
 0  0      0 20376628 189404 7708852    0    0     0   137 1251 2005  1  1 98  0  0
 0  0      0 20409544 189468 7696972    0    0     0   122 1267 1928  1  1 98  0  0
 0  0      0 20409360 189500 7697052    0    0     0    75 1141 1609  1  1 98  0  0
 0  0      0 20447592 189572 7668008    0    0     0    83 1165 1773  1  1 98  0  0
 0  0      0 20434444 189636 7668276    0    0     0    88 1180 1710  1  1 98  0  0
 0  0      0 20416444 189684 7696440    0    0     0    72 1316 1915  1  1 98  0  0
 1  0      0 20424792 189744 7697072    0    0     0   108 1225 1801  1  1 98  0  0
 0  0      0 20425320 189800 7696856    0    0     0   115 1200 1733  1  1 99  0  0
 0  0      0 20420636 189872 7696752    0    0     0    69 1153 1691  1  1 99  0  0
 1  0      0 20412868 189928 7696652    0    0     0   472 1268 1742  1  1 98  0  0
 0  0      0 20436388 189976 7668112    0    0     0  1304 1424 2133  1  1 98  0  0
 0  0      0 20437308 190040 7668380    0    0     0    95 1120 1622  1  1 99  0  0
 0  0      0 20446600 190128 7668148    0    0     0    83 1310 1712  1  1 98  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 20464148 190176 7668424    0    0     0  1694 1283 1718  1  1 98  0  0
 0  0      0 20472736 190240 7668428    0    0     0    79 1165 1661  1  1 99  0  0
 0  0      0 20463900 190288 7668436    0    0     0    86 1191 1725  1  1 98  0  0
 0  0      0 20442976 190360 7671660    0    0     5    69 1285 1662  1  1 99  0  0
 0  0      0 20455660 190408 7670208    0    0     0   111 1319 1798  1  1 98  0  0
 0  0      0 20462428 190464 7660112    0    0     0    99 1247 1732  1  1 99  0  0
 0  0      0 20457476 190512 7660192    0    0     0    78 1322 1752  1  1 99  0  0
 0  0      0 20391356 190664 7675552    0    0     0   206 1403 2308  1  1 98  0  0
 0  0      0 20444432 190704 7661024    0    0     0    97 1362 1901  1  1 98  0  0
 0  0      0 20460888 190752 7660760    0    0     0    86 1271 1787  1  1 99  0  0
 0  0      0 20455348 190816 7660524    0    0     0    93 1267 1763  1  1 99  0  0
 0  0      0 20441416 190888 7663892    0    0     0    98 1294 1727  1  1 99  0  0
 0  0      0 20456688 190952 7661072    0    0     0    80 1425 1885  1  1 98  0  0
 0  0      0 20464636 190992 7661060    0    0     0    69 1290 1693  1  1 99  0  0
 0  0      0 20479748 191056 7661216    0    0     0    75 1287 1811  1  1 98  0  0
 0  0      0 20481896 191128 7661152    0    0     0    74 1361 1836  1  1 98  0  0
 0  0      0 20462892 191192 7661176    0    0     0    97 1280 1718  1  1 99  0  0
 0  0      0 20471276 191232 7660944    0    0     0    68 1251 1666  1  1 99  0  0
 0  0      0 20462848 195280 7668668    0    0   250   356 1282 1784  1  1 99  0  0
 0  0      0 20458256 195344 7668400    0    0     0    67 1168 1598  1  1 99  0  0
 1  0      0 20444684 195400 7668588    0    0     0    74 1133 1608  1  1 99  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 20453192 195440 7668440    0    0     0    71 1184 1713  1  1 98  0  0
 0  0      0 20455512 195512 7671280    0    0     0    81 1218 1749  1  1 98  0  0
 0  0      0 20455404 195568 7668716    0    0     0    85 1153 1649  1  1 99  0  0
 1  0      0 20453588 195656 7670604    0    0     0   110 1186 1743  1  1 98  0  0
 0  0      0 20445364 195696 7670428    0    0     0    91 1181 1723  1  1 98  0  0
 1  0      0 20432456 195744 7671536    0    0     0    76 1182 1662  1  1 99  0  0
 0  0      0 20393844 195824 7680740    0    0     0    63 1218 1846  1  1 99  0  0
 0  0      0 20448636 195864 7668040    0    0     0    96 1276 1803  1  1 98  0  0
 0  0      0 20468052 195920 7668800    0    0     0    85 1216 1772  1  1 98  0  0
 0  0      0 20462372 195984 7668580    0    0     0    75 1165 1654  1  1 99  0  0
 0  0      0 20455440 196056 7671688    0    0     0   101 1102 1679  1  0 99  0  0
 0  0      0 20434328 196088 7668616    0    0     0    71 1193 1842  1  1 99  0  0
 0  0      0 20452572 196152 7668868    0    0     0    92 1162 1742  1  1 99  0  0
