procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 3  0      0 19121892 311260 8423896    0    0     7    17   32   40  3  1 96  0  0
 0  0      0 19134388 311400 8425272    0    0     0   245 4025 6566  8  3 89  0  0
 3  0      0 19036444 311576 8443252    0    0     0   412 4623 26324  8  2 90  0  0
 0  0      0 19107584 311664 8432424    0    0     0  1250 3460 24322  4  1 94  0  0
 1  0      0 19114556 311812 8430420    0    0     0   123 1797 4227  1  1 98  0  0
 3  0      0 19096408 312040 8438680    0    0     0   219 2134 5531  2  1 97  0  0
 0  0      0 19073092 312296 8436980    0    0     0   246 2720 7681  3  1 96  0  0
 0  0      0 19095356 312576 8435304    0    0     0   291 2782 7023  3  1 95  0  0
 0  0      0 19099184 312800 8437884    0    0     0   164 2206 5894  2  1 97  0  0
 1  0      0 19100988 312892 8440288    0    0     0   112 2795 6401  3  1 96  0  0
 0  0      0 19090724 312956 8441236    0    0     0    91 1783 4637  2  1 97  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0      0 19109340 312988 8435364    0    0     7    17   33   42  3  1 96  0  0
 2  0      0 19060768 313060 8469564    0    0     0   243 3497 4790  5  2 93  0  0
 2  0      0 19088128 313112 8442348    0    0     0   241 3906 5795  6  2 92  0  0
 0  0      0 19102748 313188 8437176    0    0     0   174 2106 4188  2  1 97  0  0
 2  0      0 19096496 313248 8438556    0    0     0   178 3037 5930  3  1 96  0  0
 3  0      0 19107060 313312 8432596    0    0     0   135 2992 5573  3  1 96  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0      0 19111560 313332 8430024    0    0     7    17   33   42  3  1 96  0  0
 4  0      0 19086332 313332 8430260    0    0     0   117 2582 3371  3  1 96  0  0
 0  0      0 19068432 313404 8436964    0    0     0   237 4419 6622  7  2 91  0  0
 0  0      0 19076432 313440 8431488    0    0     0   260 5135 8343  9  3 88  0  0
 4  0      0 19017440 313448 8431456    0    0     0   270 4650 8891  7  3 90  0  0
 5  0      0 18983636 313556 8452096    0    0     0   380 4331 9123  7  3 90  0  0
 4  0      0 18924452 313592 8484696    0    0     0   366 5969 25481 10  2 88  0  0
 5  0      0 18956596 313592 8457804    0    0     0   350 6248 41598 11  2 87  0  0
 0  0      0 19052336 313628 8430428    0    0     0   122 5685 41224  9  2 89  0  0
 0  0      0 19055160 313640 8428636    0    0     0   122 3108 22700  4  1 94  0  0
 0  0      0 19086808 313640 8429008    0    0     0   118 2645 6133  3  1 96  0  0
 1  0      0 19057284 313692 8433792    0    0     0   110 1157 1709  1  1 99  0  0
 1  0      0 19043508 313708 8439332    0    0     0    78 1658 3425  2  1 97  0  0
 5  0      0 19028640 313732 8444184    0    0     0   100 2029 4097  2  1 97  0  0
 0  0      0 19049560 313776 8431188    0    0     0    79 2841 5751  3  1 96  0  0
 1  0      0 19061048 313792 8430628    0    0     0    95 2535 4506  2  1 97  0  0
 1  0      0 19058128 313808 8430588    0    0     0    84 2157 3781  2  1 97  0  0
 0  0      0 19071556 313876 8427084    0    0     0   131 1700 2741  1  1 98  0  0
 0  0      0 19081788 313884 8426476    0    0     0   125 1475 2235  1  1 98  0  0
 0  0      0 19063204 313884 8471872    0    0     0   114 1474 2206  1  1 98  0  0
 0  0      0 19070224 313932 8441372    0    0     0    69 1456 2208  1  1 98  0  0
 0  0      0 19071908 313948 8440264    0    0     0    74 1637 2638  2  1 98  0  0
 2  0      0 19072592 313964 8440264    0    0     0   102 1631 2634  2  1 98  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 19077988 313992 8440864    0    0     0   109 1599 2520  1  1 98  0  0
 0  0      0 19075864 314000 8440772    0    0     0    99 1627 2613  1  1 98  0  0
 1  0      0 19080276 314020 8442904    0    0     0    81 1984 2618  2  1 97  0  0
 0  0      0 19045420 314036 8455432    0    0     0    55 2253 4136  2  1 97  0  0
 1  0      0 19059420 314080 8453888    0    0     0    97 3312 6480  3  2 95  0  0
 1  0      0 19062700 314080 8446572    0    0     0   102 3018 6808  3  1 96  0  0
 1  0      0 19046796 314140 8443672    0    0     0   163 3251 7654  3  1 95  0  0
 0  0      0 19054608 314196 8445316    0    0     0   168 3002 6706  3  2 95  0  0
 0  0      0 19057580 314204 8444292    0    0     0   182 3211 7481  3  2 95  0  0
 0  0      0 19090380 314228 8424348    0    0     0   129 2376 4479  2  1 96  0  0
 0  0      0 19107740 314236 8424104    0    0     0    90 1448 2725  1  1 98  0  0
 2  0      0 19109292 314252 8424104    0    0     0    70 1160 1571  1  1 99  0  0
 0  0      0 19080320 314276 8424380    0    0     0    93 1291 1650  1  1 99  0  0
 0  0      0 19074364 314280 8426748    0    0     0    96 1232 1522  1  1 99  0  0
 1  0      0 19070864 314280 8427324    0    0     0    87 1192 1423  1  1 99  0  0
 0  0      0 19042620 314308 8432156    0    0     0    74 1254 1998  1  1 98  0  0
 0  0      0 19046328 314316 8434312    0    0     0    94 1203 2016  1  1 98  0  0
 1  0      0 19046824 314332 8436872    0    0     0   130 1263 2162  1  1 98  0  0
 0  0      0 19036100 314424 8447200    0    0     0   200 3068 6120  3  1 96  0  0
 1  0      0 19030416 314464 8437464    0    0     0   223 3543 7935  4  1 95  0  0
 2  0      0 18996200 314480 8476628    0    0     0   200 3691 8252  4  1 95  0  0
 1  0      0 19038200 314528 8440148    0    0     0   145 2058 4700  2  1 97  0  0
 0  0      0 19034884 314532 8439780    0    0     0    96 1730 3084  1  1 98  0  0
 2  0      0 19035588 314532 8440064    0    0     0    82 1589 2746  1  1 98  0  0
 1  0      0 19035500 314572 8440168    0    0     0   107 1611 2533  1  1 98  0  0
 0  0      0 19039064 314580 8440072    0    0     0   105 1625 2584  1  1 98  0  0
 1  0      0 19056564 314596 8439712    0    0     0   114 1627 2861  1  1 98  0  0
 0  0      0 19026532 314616 8440168    0    0     0    56 1642 2821  1  1 98  0  0
 1  0      0 19020020 314636 8440464    0    0     0    66 2158 4288  2  1 97  0  0
