procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0      0 17602504 216504 10604652    0    0     6    44   57   25  4  1 95  0  0
 3  0      0 17563516 216712 10608300    0    0     4   326 7006 7535  7  1 92  0  0
 1  0      0 17523908 216904 10606084    0    0     0  8967 6645 10060 11  1 88  0  0
 1  0      0 17548896 217012 10598788    0    0     0   157 2091 2136  3  3 94  0  0
 3  0      0 17589632 217092 10603300    0    0     0   145 2357 3072  4  2 94  0  0
 1  0      0 17471716 217148 10682564    0    0     0  1610 4967 8977 11  1 88  0  0
 1  0      0 17502312 217192 10670864    0    0     0   108 3697 4393  5  2 93  0  0
 3  0      0 17546248 217336 10611052    0    0     0   189 3761 4609  6  2 92  0  0
 1  1      0 17586188 217400 10602472    0    0     0  6559 3923 6703  6  1 93  0  0
 0  0      0 17596928 217496 10601016    0    0     0   161 3002 5155  4  1 94  0  0
 0  0      0 17569572 217548 10603728    0    0     0   164 3010 4782  4  1 94  0  0
 1  0      0 17558144 217688 10606060    0    0     0   207 4329 6505  6  1 92  0  0
 0  0      0 17523904 217788 10612432    0    0     0   207 2859 5346  4  1 95  0  0
 1  0      0 17549500 217856 10609028    0    0     0   297 2376 4071  3  1 96  0  0
 0  0      0 17577780 217920 10603028    0    0     0    89 1410 1895  1  1 98  0  0
 1  0      0 17587780 218024 10602900    0    0     0   142 1165 1650  1  1 99  0  0
 0  0      0 17585480 218064 10603044    0    0     0    69 1143 1498  1  1 99  0  0
 0  0      0 17584368 218144 10603068    0    0     0   107 1168 1642  1  1 99  0  0
 0  0      0 17601012 218192 10603068    0    0     0    86 1344 1744  1  1 98  0  0
 0  0      0 17593524 218280 10603076    0    0     0   117 1196 1654  1  1 99  0  0
 0  0      0 17464480 218356 10654364    0    0     9   230 1648 3290  1  1 98  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 17489156 218444 10652048    0    0     0   173 1161 1513  1  1 99  0  0
 0  0      0 17614304 218508 10610572    0    0     0   111 1364 1659  1  1 99  0  0
 0  0      0 17648088 218588 10582016    0    0     0    97 1167 1463  1  1 99  0  0
 0  0      0 17657224 218660 10582132    0    0     0   105 1167 1413  1  1 99  0  0
 0  0      0 17653288 218692 10582528    0    0     0    77 1090 1304  1  1 99  0  0
 0  0      0 17621908 218756 10614068    0    0     0    98 1156 1447  1  1 99  0  0
 0  0      0 17625052 218812 10611848    0    0     0    83 1065 1400  1  1 99  0  0
 1  0      0 17634304 218884 10611840    0    0     0    95 1064 1341  1  1 99  0  0
 0  0      0 17631288 218932 10611352    0    0     0    64 1026 1304  0  1 99  0  0
 0  0      0 17620380 218972 10611060    0    0     0    66 1089 1318  1  1 99  0  0
 0  0      0 17645432 219052 10605680    0    0     0    98 1119 1407  1  1 99  0  0
 2  0      0 17624668 219132 10587572    0    0     0   129 1104 1572  1  1 99  0  0
 1  0      0 17625808 219148 10588876    0    0     0    83 1055 1332  1  1 99  0  0
 1  0      0 17619968 219244 10583912    0    0     0   111 1093 1444  1  1 99  0  0
 0  0      0 17585876 219300 10611104    0    0     0    74 1050 1360  1  1 99  0  0
 0  0      0 17610480 219372 10609192    0    0     0   121 1066 1338  1  1 99  0  0
 0  0      0 17607548 219404 10610380    0    0     0    92 1062 1323  1  1 99  0  0
 1  0      0 17597696 219524 10615060    0    0     0   104 2547 6913  3  1 96  0  0
 0  0      0 17574572 219780 10627044    0    0     0   185 2623 7000  3  1 96  0  0
 0  0      0 17564216 219932 10644440    0    0     0   114 4497 7765  5  1 94  0  0
 0  0      0 17591684 219988 10604396    0    0     0    74 1875 3948  2  1 97  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 17605888 220044 10596804    0    0     0   107 1269 1831  1  1 98  0  0
 1  0      0 17620024 220140 10598328    0    0     0    98 1259 1717  1  1 98  0  0
 0  0      0 17650636 220212 10568592    0    0     0    90 1241 1751  1  1 98  0  0
 1  0      0 17647368 220244 10569104    0    0     0    55 1265 2132  1  1 98  0  0
 0  0      0 17622360 220316 10599392    0    0     0   100 1725 4096  2  1 98  0  0
 0  0      0 17622804 220388 10598364    0    0     0    78 1565 3552  1  1 98  0  0
 0  0      0 17590592 220492 10618396    0    0     1   118 3703 7169  4  1 95  0  0
 0  0      0 17619612 220548 10595288    0    0     0    91 1705 3427  1  1 98  0  0
 0  0      0 17601864 220628 10602780    0    0     0    90 2460 5989  3  1 96  0  0
 0  0      0 17611768 220744 10595252    0    0     0   143 1983 4273  2  1 97  0  0
 0  0      0 17563460 220848 10607640    0    0     0   149 1542 2698  1  1 98  0  0
 1  0      0 17608192 220920 10599084    0    0     9   129 3255 7241  3  1 96  0  0
 0  0      0 17588804 221040 10608520    0    0     0   157 3464 6011  3  1 96  0  0
 1  0      0 17625132 221168 10582144    0    0     0   183 1877 4288  1  1 98  0  0
 2  0      0 17576428 221232 10597428    0    0     0    89 2511 4658  2  1 97  0  0
 1  0      0 17610388 221336 10583612    0    0     0   123 2449 5101  2  1 97  0  0
 0  0      0 17591472 221424 10587128    0    0     0    88 2973 6614  3  1 95  0  0
 0  0      0 17602440 221512 10588996    0    0     0   112 2346 5982  3  1 96  0  0
 0  0      0 17555128 221636 10609904    0    0     0   154 3179 6242  4  1 96  0  0
 3  0      0 17604212 221668 10588072    0    0     0    69 1753 3167  1  1 98  0  0
 0  0      0 17612320 221724 10587560    0    0     0    82 1557 2381  1  1 98  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 17607720 221836 10587832    0    0     0   102 1455 2126  1  1 98  0  0
 0  0      0 17561744 221976 10632256    0    0  1396   114 2770 5246  3  1 96  0  0
 1  0      0 17576156 222128 10619268    0    0     0   122 4267 8612  4  1 95  0  0
 1  0      0 17538616 222264 10619184    0    0     0   137 3307 8355  4  1 95  0  0
 2  0      0 17546032 222392 10609576    0    0   105   122 2792 4876  3  1 96  0  0
 0  0      0 17596956 222456 10610180    0    0     0    95 1444 2152  1  1 98  0  0
 0  0      0 17566976 222520 10616776    0    0     0    77 1427 2622  1  1 98  0  0
 0  0      0 17530792 222568 10637568    0    0     0   114 3631 8563  4  1 95  0  0
 0  0      0 17600964 222680 10606552    0    0     1   107 1527 3021  1  1 98  0  0
 0  0      0 17548372 222728 10618680    0    0     0   133 1641 3518  2  1 98  0  0
 0  0      0 17547728 222832 10618008    0    0     0   125 2008 4231  2  1 97  0  0
 2  0      0 17575660 222880 10611020    0    0     0    73 2392 5083  2  1 96  0  0
 1  0      0 17522156 222984 10631492    0    0     0   118 3268 5390  3  1 96  0  0
 1  0      0 17570912 223064 10607168    0    0     0   125 2299 5838  3  1 96  0  0
 0  0      0 17542324 223104 10611736    0    0     0    87 2389 7045  3  1 96  0  0
 3  0      0 17553008 223176 10613616    0    0     0   128 2079 4109  2  1 97  0  0
 0  0      0 17580184 223272 10608912    0    0     0   135 3020 8777  4  1 95  0  0
 0  0      0 17600400 223376 10611596    0    0     0   102 2769 8087  4  1 95  0  0
 0  0      0 17609600 223440 10607500    0    0     0    79 2036 5438  2  1 97  0  0
 0  0      0 17592216 223536 10610664    0    0     0  1749 1877 4352  2  1 97  0  0
 0  0      0 17609212 223640 10605232    0    0     0    72 1345 2290  1  1 98  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 17537028 223904 10609048    0    0     0  1470 3827 9169  4  2 94  0  0
