procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 5  0      0 21742168 243044 6408044    0    0     7    12   48   63  5  1 94  0  0
 1  0      0 21744540 243136 6392216    0    0     0   201 5737 14948  9  3 88  0  0
 5  0      0 21621068 243220 6413088    0    0     7   425 6619 33336 10  2 88  0  0
 1  0      0 21721756 243328 6396256    0    0    33   145 5168 15554  5  2 93  0  0
 4  0      0 21637820 243420 6477432    0    0     0   145 4852 14017  6  2 93  0  0
 0  0      0 21678356 243472 6437116    0    0     0   141 2037 4238  2  1 97  0  0
 0  0      0 21726552 243532 6415808    0    0     0   107 1738 2450  1  1 98  0  0
 1  0      0 21727240 243604 6412220    0    0     0   103 1767 3037  1  1 98  0  0
 2  0      0 21739728 243648 6412680    0    0     0    87 1906 2997  1  1 98  0  0
 0  0      0 21748108 243752 6408016    0    0     0   123 2038 3307  2  1 97  0  0
 0  0      0 21715304 243940 6452832    0    0  1396   162 3207 5350  3  1 96  0  0
 0  0      0 21654280 244064 6453372    0    0     2   163 2848 5757  3  1 95  0  0
 0  0      0 21705348 244176 6434896    0    0    76   162 3908 6026  3  2 95  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 9  0      0 21603272 244256 6496296    0    0     7    12   49   65  5  1 94  0  0
 6  0      0 21563252 244256 6494364    0    0     0   135 4234 9913  5  1 94  0  0
 4  0      0 21627200 244284 6455004    0    0     0   193 5739 15290  9  4 88  0  0
 1  0      0 21706440 244288 6433328    0    0     0   229 5318 15242  8  4 89  0  0
 4  0      0 21612328 244340 6418448    0    0     0   329 6612 37394 10  2 88  0  0
 0  0      0 21689848 244356 6407696    0    0     0   305 6889 40623 11  2 87  0  0
 1  0      0 21687416 244380 6431024    0    0     4   166 4944 15963  6  2 92  0  0
 0  0      0 21680936 244380 6431280    0    0     4   150 4639 12642  5  2 93  0  0
 1  0      0 21685084 244464 6422428    0    0     0   173 3867 12999  5  2 94  0  0
 0  0      0 21692920 244464 6423304    0    0     0   172 3839 12743  5  2 94  0  0
 0  0      0 21677076 244536 6429624    0    0     0   105 3952 12671  5  2 94  0  0
 1  0      0 21675704 244536 6429828    0    0     0   126 4081 13167  5  2 93  0  0
 0  0      0 21668340 244588 6434480    0    0     0   102 4865 15353  5  2 93  0  0
 2  0      0 21636760 244588 6447100    0    0     0    81 4916 15785  6  2 92  0  0
 0  0      0 21677624 244756 6432380    0    0     0   186 5576 16314  6  2 92  0  0
 2  0      0 21671336 244756 6435964    0    0     0   186 5421 15578  6  2 92  0  0
 0  0      0 21680536 244796 6425788    0    0     0   107 4297 13482  5  2 93  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
