2024-04-24 18:23:19 [1714000999] : running TPC-DS benchmark
2024-04-24 18:23:19 [1714000999] : running queries defined in TPC-DS benchmark
2024-04-24 18:23:19 [1714000999] :   running query 2
2024-04-24 18:23:20 [1714001000] :     query 2 finished OK (1 seconds)
2024-04-24 18:23:20 [1714001000] :   running query 3
2024-04-24 18:23:21 [1714001001] :     query 3 finished OK (1 seconds)
2024-04-24 18:23:21 [1714001001] :   running query 4
2024-04-24 18:25:01 [1714001101] :     killing query 4 (timeout)
2024-04-24 18:25:11 [1714001111] :   running query 5
2024-04-24 18:25:12 [1714001112] :     query 5 finished OK (1 seconds)
2024-04-24 18:25:12 [1714001112] :   running query 6
2024-04-24 18:26:05 [1714001165] :     query 6 finished OK (53 seconds)
2024-04-24 18:26:05 [1714001165] :   running query 7
2024-04-24 18:26:06 [1714001166] :     query 7 finished OK (1 seconds)
2024-04-24 18:26:06 [1714001166] :   running query 8
2024-04-24 18:26:07 [1714001167] :     query 8 finished OK (1 seconds)
2024-04-24 18:26:07 [1714001167] :   running query 9
2024-04-24 18:26:10 [1714001170] :     query 9 finished OK (3 seconds)
2024-04-24 18:26:10 [1714001170] :   running query 10
2024-04-24 18:26:14 [1714001174] :     query 10 finished OK (4 seconds)
2024-04-24 18:26:14 [1714001174] :   running query 11
2024-04-24 18:27:55 [1714001275] :     killing query 11 (timeout)
2024-04-24 18:28:05 [1714001285] :   running query 12
2024-04-24 18:28:06 [1714001286] :     query 12 finished OK (1 seconds)
2024-04-24 18:28:06 [1714001286] :   running query 13
2024-04-24 18:28:07 [1714001287] :     query 13 finished OK (1 seconds)
2024-04-24 18:28:07 [1714001287] :   running query 14
2024-04-24 18:28:44 [1714001324] :     query 14 finished OK (19 seconds)
2024-04-24 18:28:44 [1714001324] :   running query 15
2024-04-24 18:28:45 [1714001325] :     query 15 finished OK (1 seconds)
2024-04-24 18:28:45 [1714001325] :   running query 16
2024-04-24 18:28:46 [1714001326] :     query 16 finished OK (1 seconds)
2024-04-24 18:28:46 [1714001326] :   running query 17
2024-04-24 18:28:48 [1714001328] :     query 17 finished OK (2 seconds)
2024-04-24 18:28:48 [1714001328] :   running query 18
2024-04-24 18:28:49 [1714001329] :     query 18 finished OK (1 seconds)
2024-04-24 18:28:49 [1714001329] :   running query 19
2024-04-24 18:28:50 [1714001330] :     query 19 finished OK (1 seconds)
2024-04-24 18:28:50 [1714001330] :   running query 20
2024-04-24 18:28:51 [1714001331] :     query 20 finished OK (1 seconds)
2024-04-24 18:28:51 [1714001331] :   running query 21
2024-04-24 18:28:53 [1714001333] :     query 21 finished OK (1 seconds)
2024-04-24 18:28:53 [1714001333] :   running query 22
2024-04-24 18:28:57 [1714001337] :     query 22 finished OK (4 seconds)
2024-04-24 18:28:57 [1714001337] :   running query 23
2024-04-24 18:28:58 [1714001338] :     query 23 finished OK (1 seconds)
2024-04-24 18:28:58 [1714001338] :   running query 24
2024-04-24 18:28:59 [1714001339] :     query 24 finished OK (1 seconds)
2024-04-24 18:28:59 [1714001339] :   running query 25
2024-04-24 18:29:01 [1714001341] :     query 25 finished OK (2 seconds)
2024-04-24 18:29:01 [1714001341] :   running query 26
2024-04-24 18:29:02 [1714001342] :     query 26 finished OK (1 seconds)
2024-04-24 18:29:02 [1714001342] :   running query 27
2024-04-24 18:29:03 [1714001343] :     query 27 finished OK (1 seconds)
2024-04-24 18:29:03 [1714001343] :   running query 28
2024-04-24 18:29:05 [1714001345] :     query 28 finished OK (2 seconds)
2024-04-24 18:29:05 [1714001345] :   running query 29
2024-04-24 18:29:06 [1714001346] :     query 29 finished OK (1 seconds)
2024-04-24 18:29:06 [1714001346] :   running query 30
2024-04-24 18:29:07 [1714001347] :     query 30 finished OK (1 seconds)
2024-04-24 18:29:07 [1714001347] :   running query 31
2024-04-24 18:29:12 [1714001352] :     query 31 finished OK (5 seconds)
2024-04-24 18:29:12 [1714001352] :   running query 32
2024-04-24 18:29:13 [1714001353] :     query 32 finished OK (1 seconds)
2024-04-24 18:29:13 [1714001353] :   running query 33
2024-04-24 18:29:14 [1714001354] :     query 33 finished OK (1 seconds)
2024-04-24 18:29:14 [1714001354] :   running query 34
2024-04-24 18:29:15 [1714001355] :     query 34 finished OK (1 seconds)
2024-04-24 18:29:15 [1714001355] :   running query 35
2024-04-24 18:29:16 [1714001356] :     query 35 finished OK (1 seconds)
2024-04-24 18:29:16 [1714001356] :   running query 36
2024-04-24 18:29:17 [1714001357] :     query 36 finished OK (1 seconds)
2024-04-24 18:29:17 [1714001357] :   running query 37
2024-04-24 18:29:18 [1714001358] :     query 37 finished OK (1 seconds)
2024-04-24 18:29:18 [1714001358] :   running query 38
2024-04-24 18:29:20 [1714001360] :     query 38 finished OK (2 seconds)
2024-04-24 18:29:20 [1714001360] :   running query 39
