procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 3  0      0 18024956 177096 10205604    0    0     8    54  148   17  3  1 96  0  0
22  0      0 17340640 177364 10838372    0    0     0 22399 6115 9584 10  2 88  0  0
 1  0      0 17354656 177428 10827804    0    0     0   120 1946 3174  5  1 94  0  0
 1  0      0 17370204 177460 10827824    0    0     0 19717 1874 2295  5  1 94  0  0
 1  0      0 17364204 177516 10832980    0    0     0   100 1666 2283  5  1 94  0  0
 1  0      0 17342232 177620 10831408    0    0     0   141 1711 2367  5  1 94  0  0
 1  0      0 17366116 177676 10829860    0    0     0    77 1629 2235  5  1 94  0  0
 1  0      0 17337356 177740 10832812    0    0     0    87 1997 3290  5  1 94  0  0
 2  0      0 17260704 177832 10833344    0    0     0   135 4560 4337  8  1 91  0  0
 2  0      0 17316072 177912 10829788    0    0     0   129 5859 2398 10  1 89  0  0
 2  0      0 17318616 177960 10829804    0    0     0   103 5571 2281 10  1 89  0  0
 2  0      0 17297148 178008 10836288    0    0     0    85 5661 2338 10  1 89  0  0
 2  0      0 16868672 178112 11252484    0    0     0 15565 7133 11236 14  2 83  0  0
 2  0      0 16872216 178192 11243596    0    0     0  9554 4819 2482  9  2 89  0  0
 2  0      0 16922132 178240 11243080    0    0     0    73 4858 2602  9  2 89  0  0
 2  0      0 16892260 178280 11243116    0    0     0  8314 4436 2266  9  2 89  0  0
 2  0      0 16896748 178368 11246608    0    0     0    97 4361 2613  9  2 89  0  0
 2  0      0 16885612 178416 11243636    0    0     0    65 4390 2348  9  2 89  0  0
 2  0      0 16837692 178472 11258076    0    0     0   133 3864 2694  9  2 89  0  0
 2  0      0 16871452 178520 11223820    0    0     0   102 3662 2526  9  2 89  0  0
 3  0      0 16835532 178596 11255216    0    0     0   151 6267 3252 13  3 84  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 4  0      0 16841536 178664 11253140    0    0     0   107 6287 2742 14  3 83  0  0
 4  0      0 16873084 178740 11247948    0    0     0   125 6378 3554 13  3 84  0  0
 5  0      0 16785180 178808 11249996    0    0     0 13221 6707 6837 15  3 83  0  0
 5  0      0 16805648 178896 11261924    0    0     1   152 6794 4725 13  2 84  0  0
 5  0      0 16790068 178992 11299032    0    0     0   153 7278 7691 16  2 82  0  0
 2  0      0 16896440 179080 11246992    0    0     0  6978 6785 5927 13  3 84  0  0
 5  0      0 16810412 179168 11275784    0    0     0   139 7273 7497 13  3 84  0  0
 4  0      0 16773688 179288 11303488    0    0     0  3465 7759 3272 15  2 83  0  0
 3  0      0 16777048 179344 11298676    0    0     0    82 7872 2305 14  2 84  0  0
 4  0      0 16772800 179416 11300748    0    0     0    99 7752 2383 14  2 84  0  0
 3  0      0 16755432 179440 11307284    0    0     0    51 7841 2396 14  2 84  0  0
 3  0      0 16797344 179520 11277676    0    0     0   117 8017 2383 14  2 84  0  0
 3  0      0 16791940 179568 11275356    0    0     0    86 8055 2288 14  2 84  0  0
 3  0      0 16812424 179624 11271800    0    0     0    90 7987 2496 14  2 84  0  0
 4  0      0 16767648 179684 11305760    0    0     0    96 7979 4833 18  3 79  0  0
 4  0      0 16789780 179772 11300272    0    0     0   132 5971 2728 19  2 79  0  0
 4  0      0 16801768 179852 11306436    0    0     0   110 6252 2585 19  2 79  0  0
 3  0      0 16759640 179940 11314740    0    0     5   191 8506 5571 18  3 79  0  0
 4  0      0 16795620 180008 11306340    0    0     4 11595 8013 3318 18  2 79  0  0
 3  0      0 16799488 180100 11307648    0    0     0   193 8164 3816 15  2 83  0  0
 3  0      0 16803076 180164 11304620    0    0     0   128 7938 2389 14  2 84  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 4  0      0 16807460 180244 11304636    0    0     0   101 7907 2467 14  2 84  0  0
 3  0      0 16805380 180284 11304648    0    0     0    63 7693 2196 14  2 84  0  0
 3  0      0 16829436 180356 11279008    0    0     0   102 7884 2404 14  2 84  0  0
 3  0      0 16824304 180396 11275960    0    0     0    67 7886 2341 14  2 84  0  0
 3  0      0 16820624 180444 11276024    0    0     0    57 7637 2350 14  2 84  0  0
 3  0      0 16835072 180500 11275952    0    0     0    87 7906 2291 14  2 84  0  0
 3  0      0 16839116 180572 11273920    0    0     0    87 8022 2293 14  2 84  0  0
