,Query,TPCDS,GPT,Improvement
0,2,0.328,0.332,-0.012195121951219523
1,3,0.028000000000000004,0.03,-0.07142857142857123
2,6,52.098,51.78399999999999,0.006027102767860708
3,7,0.406,0.402,0.009852216748768482
4,8,0.052000000000000005,0.032,0.38461538461538464
5,9,1.7439999999999998,0.316,0.8188073394495412
6,10,3.108,3.082,0.008365508365508444
7,12,0.032,0.03,0.06250000000000006
8,13,0.264,0.266,-0.007575757575757582
9,15,0.062,0.07,-0.12903225806451624
10,16,0.186,0.178,0.04301075268817208
11,17,1.5580000000000003,1.5699999999999998,-0.007702182284980465
12,18,0.21600000000000003,0.21600000000000003,0.0
13,19,0.124,0.122,0.01612903225806453
14,20,0.04,0.04,0.0
15,21,0.34800000000000003,0.338,0.02873563218390807
16,22,3.414,3.3,0.033391915641476366
17,25,1.1260000000000001,0.328,0.7087033747779751
18,26,0.194,0.192,0.010309278350515472
19,27,0.384,0.36999999999999994,0.03645833333333351
20,28,1.3219999999999998,1.324,-0.0015128593040848895
21,29,0.568,0.564,0.007042253521126768
22,31,4.674,4.224,0.09627727856225933
23,32,0.032,0.032,0.0
24,34,0.098,0.096,0.020408163265306138
25,35,0.8140000000000001,0.68,0.16461916461916462
26,36,0.298,0.274,0.08053691275167774
27,37,0.024,0.026000000000000002,-0.08333333333333341
28,38,0.6479999999999999,0.6639999999999999,-0.024691358024691384
29,40,0.042,0.042,0.0
30,42,0.11399999999999999,0.11199999999999999,0.017543859649122823
31,43,0.20600000000000002,0.20600000000000002,0.0
32,44,0.492,0.49800000000000005,-0.012195121951219636
33,45,0.062,0.062,0.0
34,46,0.19,0.182,0.04210526315789477
35,47,1.118,1.076,0.03756708407871202
36,48,0.296,0.29,0.02027027027027029
37,50,0.038000000000000006,0.038000000000000006,0.0
38,51,0.82,0.828,-0.009756097560975618
39,52,0.11599999999999999,0.122,-0.05172413793103453
40,53,0.158,0.152,0.03797468354430383
41,54,0.11399999999999999,0.03,0.7368421052631579
42,55,0.07200000000000001,0.07400000000000001,-0.0277777777777778
43,57,0.5379999999999999,0.53,0.01486988847583624
44,58,0.07200000000000001,0.04,0.4444444444444445
45,59,0.44799999999999995,0.438,0.02232142857142847
46,60,0.5880000000000001,0.5619999999999999,0.044217687074830155
47,61,0.11000000000000001,0.11000000000000001,0.0
48,62,0.1,0.10200000000000001,-0.020000000000000018
49,63,0.156,0.156,0.0
50,64,0.45,5.27,-10.71111111111111
51,65,0.518,0.524,-0.011583011583011593
52,67,0.9179999999999999,0.9360000000000002,-0.019607843137255162
53,68,0.10799999999999998,0.1,0.07407407407407389
54,69,0.28400000000000003,0.28400000000000003,0.0
55,70,0.3539999999999999,0.358,-0.011299435028248758
56,71,0.14,0.138,0.014285714285714297
57,72,0.21200000000000002,0.20600000000000002,0.02830188679245285
58,73,0.084,0.092,-0.09523809523809515
59,75,0.734,0.74,-0.008174386920980934
60,76,0.2,0.198,0.010000000000000009
61,78,1.688,1.6640000000000001,0.014218009478672867
62,79,0.154,0.154,0.0
63,80,0.26,0.264,-0.015384615384615398
64,81,28.003999999999998,27.916000000000004,0.0031424082273958675
65,82,0.03,0.03,0.0
66,83,0.064,0.06,0.06250000000000006
67,84,0.036000000000000004,0.036000000000000004,0.0
68,85,0.082,0.076,0.07317073170731714
69,86,0.11599999999999999,0.11199999999999999,0.03448275862068969
70,87,0.676,0.68,-0.0059171597633136145
71,88,1.8820000000000001,1.876,0.003188097768331683
72,90,0.07,0.07200000000000001,-0.028571428571428595
73,91,0.032,0.032,0.0
74,92,0.042,0.04,0.04761904761904766
75,93,0.02,0.02,0.0
76,94,0.054000000000000006,0.05,0.07407407407407413
77,95,10.166,10.06,0.01042691324021246
78,96,0.08800000000000001,0.086,0.0227272727272729
79,97,0.34400000000000003,0.336,0.023255813953488393
80,98,0.12,0.118,0.016666666666666684
