procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 3  0      0 18296424 292636 8578364    0    0     8    18   21    8  3  1 96  0  0
 1  0      0 18265208 292752 8592044    0    0     0   617 5731 12399  8  3 89  0  0
 4  0      0 18175544 292844 8616492    0    0     1   563 7850 46637 11  3 87  0  0
 0  0      0 18258280 292896 8587192    0    0     0   370 4122 12150  4  2 94  0  0
 0  0      0 18253804 292940 8591032    0    0     0   308 3412 9641  3  1 95  0  0
 1  0      0 18264508 292988 8590536    0    0     0   371 3532 10201  3  1 95  0  0
 1  0      0 18255516 293040 8588200    0    0     0   307 4638 11964  5  2 93  0  0
 2  0      0 18245708 293132 8592040    0    0     0   321 3908 10829  4  2 94  0  0
 0  0      0 18331964 293192 8574916    0    0     0   439 4190 10976  4  2 94  0  0
 0  0      0 18295808 293308 8578564    0    0     0   536 5033 12414  5  2 92  0  0
 1  0      0 18316804 293388 8584172    0    0     8   212 4090 10258  4  2 94  0  0
 0  0      0 18264008 293464 8587716    0    0     0   312 3729 10097  4  2 94  0  0
 1  0      0 18268652 293508 8582760    0    0     0   515 3902 11846  4  2 95  0  0
 1  0      0 18297772 293548 8584940    0    0     0   339 4093 12751  4  1 94  0  0
 0  0      0 18295364 293600 8585744    0    0     0   232 4217 12353  5  2 94  0  0
 0  0      0 18259656 293644 8587136    0    0     0   279 3525 10431  3  2 95  0  0
 5  0      0 18252904 293732 8586524    0    0     0   356 5022 13681  5  2 93  0  0
 1  0      0 18245548 293788 8580196    0    0     0   240 3259 9171  3  1 96  0  0
 1  0      0 18243288 293864 8581816    0    0     0   383 3405 9263  3  1 96  0  0
 0  0      0 18242568 293896 8572504    0    0     0   232 4383 12895  5  2 93  0  0
 0  0      0 18272104 293976 8582228    0    0     0   595 4391 14126  5  2 93  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 18252628 294032 8590420    0    0     0   341 4195 11344  5  1 94  0  0
 0  0      0 18288760 294108 8595108    0    0     0   354 3610 9306  3  1 95  0  0
 0  0      0 18267820 294124 8581736    0    0     0   280 3364 8977  3  1 96  0  0
 1  0      0 18253088 294208 8590328    0    0     0   346 3505 9288  3  1 95  0  0
 1  0      0 18274400 294236 8580532    0    0     0   557 3432 8998  3  1 95  0  0
 0  0      0 18221264 294312 8607424    0    0     0   356 5103 11888  5  1 94  0  0
