,Query,TPCH,GPT,Improvement
0,1,1.37,1.29,0.05839416058394165
1,3,0.29,0.35,-0.20689655172413793
2,5,0.29,0.3,-0.03448275862068969
3,6,0.2,0.21,-0.049999999999999906
4,8,0.15,0.16,-0.06666666666666674
5,11,0.07,0.29,-3.1428571428571423
6,12,0.41,0.38,0.07317073170731701
7,13,0.29,0.97,-2.3448275862068964
8,14,0.12,0.13,-0.08333333333333341
9,16,0.18,0.17,0.055555555555555455
10,18,1.91,2.01,-0.05235602094240831
11,19,0.04,0.05,-0.25000000000000006
12,20,0.94,1.11,-0.1808510638297874
13,21,0.34,0.42,-0.23529411764705868
14,22,0.06,0.06,0.0
