,Query,TPCDS,GPT,Improvement
0,3,0.03,0.03,0.0
1,6,52.32,0.3,0.9942660550458716
2,7,0.44,0.42,0.0454545454545455
3,8,0.06,5.71,-94.16666666666667
4,9,2.13,0.37,0.8262910798122065
5,10,3.61,3.27,0.0941828254847645
6,12,0.05,0.05,0.0
7,13,0.26,0.27,-0.03846153846153849
8,16,0.18,0.2,-0.11111111111111122
9,17,1.76,1.58,0.10227272727272724
10,18,0.22,0.21,0.0454545454545455
11,19,0.13,0.13,0.0
12,20,0.07,0.07,0.0
13,21,0.36,0.36,0.0
14,22,3.44,3.42,0.005813953488372098
15,25,1.23,1.16,0.05691056910569111
16,26,0.19,0.18,0.05263157894736847
17,28,1.36,1.33,0.022058823529411783
18,29,0.66,0.6,0.09090909090909098
19,31,4.31,2.15,0.5011600928074246
20,34,0.1,0.1,0.0
21,35,0.87,1.16,-0.33333333333333326
22,37,0.02,0.02,0.0
23,38,1.14,0.57,0.5
24,40,0.07,0.07,0.0
25,44,0.51,0.26,0.49019607843137253
26,46,0.19,0.18,0.05263157894736847
27,47,1.24,1.15,0.07258064516129038
28,48,0.33,0.32,0.030303030303030328
29,50,0.04,0.04,0.0
30,52,0.12,0.11,0.0833333333333333
31,54,0.12,0.12,0.0
32,55,0.08,0.07,0.12499999999999993
33,57,0.57,0.52,0.08771929824561392
34,58,0.25,0.22,0.12
35,67,1.02,1.1,-0.07843137254901968
36,68,0.11,0.1,0.09090909090909087
37,70,0.41,0.38,0.07317073170731701
38,71,0.22,0.18,0.18181818181818185
39,72,0.21,0.19,0.09523809523809519
40,73,0.08,0.08,0.0
41,75,0.86,0.71,0.17441860465116282
42,76,0.26,0.24,0.07692307692307698
43,80,0.34,0.33,0.029411764705882377
44,82,0.03,0.03,0.0
45,83,0.08,0.07,0.12499999999999993
46,85,0.09,0.08,0.11111111111111106
47,87,1.31,1.11,0.1526717557251908
48,88,2.51,0.15,0.9402390438247012
49,89,0.19,0.16,0.15789473684210525
50,91,0.04,0.03,0.25000000000000006
51,93,0.03,0.02,0.3333333333333333
52,94,0.06,0.05,0.1666666666666666
53,95,11.62,0.2,0.9827882960413081
54,96,0.1,0.08,0.20000000000000004
55,97,0.39,0.37,0.05128205128205133
56,98,0.14,0.12,0.14285714285714296
57,99,0.21,0.17,0.19047619047619038
