,Query,TPCH,GPT,Improvement
0,1,1.358,1.338,0.014727540500736389
1,2,0.194,0.182,0.061855670103092834
2,3,0.262,0.27,-0.030534351145038195
3,4,0.134,0.132,0.01492537313432837
4,5,0.28400000000000003,0.29000000000000004,-0.0211267605633803
5,6,0.20800000000000002,0.20400000000000001,0.019230769230769246
6,7,0.32,0.32,0.0
7,8,0.14,0.14200000000000002,-0.014285714285714297
8,9,0.79,0.804,-0.017721518987341787
9,10,0.24,0.244,-0.016666666666666684
10,11,0.082,0.06,0.26829268292682934
11,12,0.324,0.33,-0.018518518518518535
12,13,0.28200000000000003,0.29600000000000004,-0.04964539007092202
13,14,0.12,0.122,-0.016666666666666684
14,15,0.42399999999999993,0.23199999999999998,0.45283018867924524
15,16,0.202,0.17200000000000001,0.1485148514851485
16,17,1.234,1.256,-0.01782820097244734
17,18,1.86,1.8439999999999999,0.008602150537634535
18,19,0.042,0.038,0.09523809523809532
19,20,0.938,0.9359999999999999,0.0021321961620469104
20,21,0.33199999999999996,0.33,0.006024096385542008
21,22,0.055999999999999994,0.052000000000000005,0.07142857142857126
